Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
DIRMINA;Apache MINA Committee;network-server;DIRMINA-656;9c1600b434e85ce1f5832030d5cd98fba812f515;0;Emmanuel Lecharny;2009-01-12 22:19:21;Emmanuel Lecharny;2009-01-12 22:19:21;fixed:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;LoggingFilter.java;core/src/main/java/org/apache/mina/filter/logging/LoggingFilter.java;MODIFY;1;0;49;52;28;150;44;940
DIRMINA;Apache MINA Committee;network-server;DIRMINA-658;4cf3824a7cc63fd43244c5c75b4d1826a0846800;0;Edouard De Oliveira;2009-01-27 23:25:41;Edouard De Oliveira;2009-01-27 23:25:41;fix:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;BufferedWriteFilter.java;core/src/main/java/org/apache/mina/filter/buffer/BufferedWriteFilter.java;MODIFY;1;0;2;0;13;116;20;755
DIRMINA;Apache MINA Committee;network-server;DIRMINA-661;584157b38da8daacb5cb4e3b90ba4477ffe401b3;0;Emmanuel Lecharny;2009-02-13 08:09:10;Emmanuel Lecharny;2009-02-13 08:09:10;added:1 invocation:1 event:1 session:1 removed:1 fix:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;DummySession.java;core/src/main/java/org/apache/mina/core/session/DummySession.java;MODIFY;1;0;17;9;20;191;33;1120
DIRMINA;Apache MINA Committee;network-server;DIRMINA-664;475c76899ed7752f49be242708d8645338dc549d;0;Emmanuel Lecharny;2009-02-27 13:45:31;Emmanuel Lecharny;2009-02-27 13:45:31;removed:1 objects:1 immutable:1 fix:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;IoBuffer.java;core/src/main/java/org/apache/mina/core/buffer/IoBuffer.java;MODIFY;1;0;0;15;11;271;48;2305
DIRMINA;Apache MINA Committee;network-server;DIRMINA-665;bc86246be89ed414fd7689ea68bbcea51b383f9d;0;Emmanuel Lecharny;2009-03-01 22:39:07;Emmanuel Lecharny;2009-03-01 22:39:07;applied:1 serge:1 patch:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;AbstractIoSession.java;core/src/main/java/org/apache/mina/core/session/AbstractIoSession.java;MODIFY;1;0;13;3;102;755;184;4523
DIRMINA;Apache MINA Committee;network-server;DIRMINA-667;7d28dfd30055a2e91ab1ce213b8ccec8298d4b2a;0;Emmanuel Lecharny;2009-03-08 20:17:47;Emmanuel Lecharny;2009-03-08 20:17:47;closed:1 bound:1 fix:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;NioDatagramConnector.java;core/src/main/java/org/apache/mina/transport/socket/nio/NioDatagramConnector.java;MODIFY;1;0;12;3;22;116;24;666
DIRMINA;Apache MINA Committee;network-server;DIRMINA-675;7459ac943d73cbe782c7ac1f3acb92ae3f8d50b5;0;Emmanuel Lecharny;2009-03-17 10:22:02;Emmanuel Lecharny;2009-03-17 10:22:02;replaced:1 thread:1 safe:1 solves:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;AbstractProtocolEncoderOutput.java;core/src/main/java/org/apache/mina/filter/codec/AbstractProtocolEncoderOutput.java;MODIFY;1;0;3;2;4;52;11;282
DIRMINA;Apache MINA Committee;network-server;DIRMINA-676;a6298bc6bf530527c8ce5ba3191ea1f35f155e57;0;Ashish Paliwal;2009-03-18 09:02:54;Ashish Paliwal;2009-03-18 09:02:54;apache:2 issue:1 added:1 check:1 attribute:1 found:1 exception:1 avoid:1 null:1 pointer:1 unknown:1 attributes:1 submitted:1 git:1 id:1 https:1 mina:1 trunk:1;ObjectMBean.java;integration-jmx/src/main/java/org/apache/mina/integration/jmx/ObjectMBean.java;MODIFY;1;0;8;1;58;850;253;5944
DIRMINA;Apache MINA Committee;network-server;DIRMINA-677;edeb5f70cfe77c3c4464de16ec9997edfc4cc91a;0;Emmanuel Lecharny;2009-03-19 23:49:57;Emmanuel Lecharny;2009-03-19 23:49:57;added:1 fix:1 session:1 closed:1 closing:1 print:1 warning:1 spare:1 user:1 exception:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;AbstractIoSession.java;core/src/main/java/org/apache/mina/core/session/AbstractIoSession.java;MODIFY;1;0;10;5;102;759;186;4541
DIRMINA;Apache MINA Committee;network-server;DIRMINA-674;4a141938cd29a4c205144ec724874d9d4761f45d;0;Emmanuel Lecharny;2009-03-20 00:03:51;Emmanuel Lecharny;2009-03-20 00:03:51;applied:1 patch:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;pom.xml;integration-xbean/pom.xml;MODIFY;0;0;0;1;0;107;0;818
DIRMINA;Apache MINA Committee;network-server;DIRMINA-672;6c7ad9c34415531d6bb1e27ed1b06fe7c93fb4a3;0;Emmanuel Lecharny;2009-03-21 19:07:19;Emmanuel Lecharny;2009-03-21 19:07:19;fix:1 applied:1 sufficient:1 get:1 loop:1 decode:1 method:1 returns:1 false:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;CumulativeProtocolDecoder.java;core/src/main/java/org/apache/mina/filter/codec/CumulativeProtocolDecoder.java;MODIFY;1;0;4;2;5;91;21;555
DIRMINA;Apache MINA Committee;network-server;DIRMINA-706;c03f96c1b8af35857e97a58b7aafdbcd845a909c;0;Emmanuel Lecharny;2009-04-28 22:20:36;Emmanuel Lecharny;2009-04-28 22:20:36;restore:1 back:1 initial:1 fix:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;AbstractIoAcceptor.java;core/src/main/java/org/apache/mina/core/service/AbstractIoAcceptor.java;MODIFY;1;0;23;7;24;274;68;1645
DIRMINA;Apache MINA Committee;network-server;DIRMINA-706;c03f96c1b8af35857e97a58b7aafdbcd845a909c;0;Emmanuel Lecharny;2009-04-28 22:20:36;Emmanuel Lecharny;2009-04-28 22:20:36;restore:1 back:1 initial:1 fix:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;IoAcceptor.java;core/src/main/java/org/apache/mina/core/service/IoAcceptor.java;MODIFY;1;0;9;1;0;27;0;227
DIRMINA;Apache MINA Committee;network-server;DIRMINA-687;d021fc1ef7295af8a5b1a9afb3fc9f5328db53ae;0;Emmanuel Lecharny;2009-05-13 23:13:48;Emmanuel Lecharny;2009-05-13 23:13:48;fix:1 removed:1 version:1 tag:1 added:1 logger:1 commented:1 breaks:1 unknown:1 reason:1 minor:1 addition:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;OrderedThreadPoolExecutor.java;core/src/main/java/org/apache/mina/filter/executor/OrderedThreadPoolExecutor.java;MODIFY;1;0;114;35;43;488;99;2691
DIRMINA;Apache MINA Committee;network-server;DIRMINA-712;b918aa3c95cb8acd100a65f534ab9dc8aa9ee3f2;0;Emmanuel Lecharny;2009-05-20 20:42:23;Emmanuel Lecharny;2009-05-20 20:42:23;applied:1 patch:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;DefaultIoFilterChainBuilder.java;core/src/main/java/org/apache/mina/core/filterchain/DefaultIoFilterChainBuilder.java;MODIFY;1;0;1;1;39;368;98;2375
DIRMINA;Apache MINA Committee;network-server;DIRMINA-713;57556bb60c825d27031e01eafa7165012bb3ee65;0;Emmanuel Lecharny;2009-05-20 21:02:49;Emmanuel Lecharny;2009-05-20 21:02:49;applied:1 patch:1 mason:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;IoBufferHexDumper.java;core/src/main/java/org/apache/mina/core/buffer/IoBufferHexDumper.java;MODIFY;1;0;1;1;2;51;7;370
DIRMINA;Apache MINA Committee;network-server;DIRMINA-717;0c1d3018e3450e4a5119e985c1bf98f05bdbcae8;0;Emmanuel Lecharny;2009-06-04 11:16:53;Emmanuel Lecharny;2009-06-04 11:16:53;fixed:1 plus:1 minor:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;DefaultIoFuture.java;core/src/main/java/org/apache/mina/core/future/DefaultIoFuture.java;MODIFY;1;0;9;4;19;227;58;1114
DIRMINA;Apache MINA Committee;network-server;DIRMINA-717;0c1d3018e3450e4a5119e985c1bf98f05bdbcae8;0;Emmanuel Lecharny;2009-06-04 11:16:53;Emmanuel Lecharny;2009-06-04 11:16:53;fixed:1 plus:1 minor:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;AbstractPollingIoAcceptor.java;core/src/main/java/org/apache/mina/core/polling/AbstractPollingIoAcceptor.java;MODIFY;1;0;1;0;14;270;51;1633
DIRMINA;Apache MINA Committee;network-server;DIRMINA-709;ddcbeadcc2693be05203e358d1d737a9ac61f5d0;0;Edouard De Oliveira;2009-06-14 18:39:57;Edouard De Oliveira;2009-06-14 18:39:57;fix:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;AbstractPollingIoProcessor.java;core/src/main/java/org/apache/mina/core/polling/AbstractPollingIoProcessor.java;MODIFY;1;0;113;92;30;601;134;3529
DIRMINA;Apache MINA Committee;network-server;DIRMINA-718;4e618741ff1ac4a76ce3d713d221dbb9e19532fa;0;Emmanuel Lecharny;2009-06-16 07:38:40;Emmanuel Lecharny;2009-06-16 07:38:40;fix:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;AbstractIoSession.java;core/src/main/java/org/apache/mina/core/session/AbstractIoSession.java;MODIFY;1;0;13;6;102;758;187;4539
DIRMINA;Apache MINA Committee;network-server;DIRMINA-728;691633f485b826965a107a541783c38b78c6a1f2;0;Emmanuel Lecharny;2009-07-15 13:31:44;Emmanuel Lecharny;2009-07-15 13:31:44;chain:2 put:2 changed:1 position:1 end:1 beginning:1 fix:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;ChatClientSupport.java;example/src/main/java/org/apache/mina/example/chat/client/ChatClientSupport.java;MODIFY;1;0;1;1;5;74;13;526
DIRMINA;Apache MINA Committee;network-server;DIRMINA-734;533a40f660b9b41b42a9391e93f25bf1a7241614;0;Emmanuel Lecharny;2009-08-06 22:59:42;Emmanuel Lecharny;2009-08-06 22:59:42;commit:2 revert:2 fix:1 reverted:1 also:1 fixed:1 issues:1 tests:1 ignored:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;ExecutorFilter.java;core/src/main/java/org/apache/mina/filter/executor/ExecutorFilter.java;MODIFY;1;0;19;24;31;320;45;1715
DIRMINA;Apache MINA Committee;network-server;DIRMINA-734;533a40f660b9b41b42a9391e93f25bf1a7241614;0;Emmanuel Lecharny;2009-08-06 22:59:42;Emmanuel Lecharny;2009-08-06 22:59:42;commit:2 revert:2 fix:1 reverted:1 also:1 fixed:1 issues:1 tests:1 ignored:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;MdcInjectionFilterTest.java;core/src/test/java/org/apache/mina/filter/logging/MdcInjectionFilterTest.java;MODIFY;1;1;0;3;28;334;44;2723
DIRMINA;Apache MINA Committee;network-server;DIRMINA-719;c4df7cd835c22ea75e72411c2ea5776bf8d5ae53;0;Julien Vermillard;2009-08-17 13:03:17;Julien Vermillard;2009-08-17 13:03:17;firing:1 message:1 sent:1 event:1 serial:1 writes:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;SerialSessionImpl.java;transport-serial/src/main/java/org/apache/mina/transport/serial/SerialSessionImpl.java;MODIFY;1;0;12;0;22;227;42;1309
DIRMINA;Apache MINA Committee;network-server;DIRMINA-719;78f3514e9592cf1f8c875b4a9610a5c86eb6d329;0;Julien Vermillard;2009-08-18 09:25:20;Julien Vermillard;2009-08-18 09:25:20;fix:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;SerialSessionImpl.java;transport-serial/src/main/java/org/apache/mina/transport/serial/SerialSessionImpl.java;MODIFY;1;0;1;5;22;226;42;1299
DIRMINA;Apache MINA Committee;network-server;DIRMINA-739;5e9c2b3370c1aba21466a274ce1b90d797766db2;0;Emmanuel Lecharny;2009-09-01 10:07:59;Emmanuel Lecharny;2009-09-01 10:07:59;fix:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;ErrorGeneratingFilter.java;core/src/main/java/org/apache/mina/filter/errorgenerating/ErrorGeneratingFilter.java;MODIFY;1;0;2;2;22;174;43;1209
DIRMINA;Apache MINA Committee;network-server;DIRMINA-740;5f5dc7b2584ab9241b59fa9490cbb5193c331aaa;0;Julien Vermillard;2009-10-09 15:52:04;Julien Vermillard;2009-10-09 15:52:04;flow:2 updated:1 control:1 adding:1 combination:1 controls:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;SerialAddress.java;transport-serial/src/main/java/org/apache/mina/transport/serial/SerialAddress.java;MODIFY;1;0;7;3;12;138;38;639
DIRMINA;Apache MINA Committee;network-server;DIRMINA-740;d7455b48063325ef5859dc5e4f0ead823f338361;0;Julien Vermillard;2009-10-12 07:50:23;Julien Vermillard;2009-10-12 07:50:23;added:1 methods:1 manipulating:1 lines:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;SerialSession.java;transport-serial/src/main/java/org/apache/mina/transport/serial/SerialSession.java;MODIFY;1;0;22;0;0;12;0;75
DIRMINA;Apache MINA Committee;network-server;DIRMINA-740;d7455b48063325ef5859dc5e4f0ead823f338361;0;Julien Vermillard;2009-10-12 07:50:23;Julien Vermillard;2009-10-12 07:50:23;added:1 methods:1 manipulating:1 lines:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;SerialSessionImpl.java;transport-serial/src/main/java/org/apache/mina/transport/serial/SerialSessionImpl.java;MODIFY;1;0;16;0;26;238;46;1359
DIRMINA;Apache MINA Committee;network-server;DIRMINA-750;61bca2f661a39ea1a6ff54d4abd82dc3bbd46e2f;0;Emmanuel Lecharny;2009-12-05 15:04:10;Emmanuel Lecharny;2009-12-05 15:04:10;fixed:1 missing:1 value:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;IoBuffer.java;core/src/main/java/org/apache/mina/core/buffer/IoBuffer.java;MODIFY;1;0;340;172;11;279;49;2311
DIRMINA;Apache MINA Committee;network-server;DIRMINA-678;fb4273fb71e1e9b230946d2290f15464dfb122d1;0;Emmanuel Lecharny;2009-12-09 15:38:14;Emmanuel Lecharny;2009-12-09 15:38:14;trunk:2 fix:2 injected:1 select:1 branch:1 cross:1 fingers:1 commented:1 waiting:1 forever:1 patch:1 note:1 please:1 test:1 version:1 issue:1 one:1 single:1 commit:1 easy:1 revert:1 git:1 id:1 https:1 apache:1 mina:1;AbstractPollingIoProcessor.java;core/src/main/java/org/apache/mina/core/polling/AbstractPollingIoProcessor.java;MODIFY;1;0;291;157;30;635;139;3739
DIRMINA;Apache MINA Committee;network-server;DIRMINA-678;fb4273fb71e1e9b230946d2290f15464dfb122d1;0;Emmanuel Lecharny;2009-12-09 15:38:14;Emmanuel Lecharny;2009-12-09 15:38:14;trunk:2 fix:2 injected:1 select:1 branch:1 cross:1 fingers:1 commented:1 waiting:1 forever:1 patch:1 note:1 please:1 test:1 version:1 issue:1 one:1 single:1 commit:1 easy:1 revert:1 git:1 id:1 https:1 apache:1 mina:1;NioProcessor.java;core/src/main/java/org/apache/mina/transport/socket/nio/NioProcessor.java;MODIFY;1;0;98;29;26;217;48;1325
DIRMINA;Apache MINA Committee;network-server;DIRMINA-678;fb4273fb71e1e9b230946d2290f15464dfb122d1;0;Emmanuel Lecharny;2009-12-09 15:38:14;Emmanuel Lecharny;2009-12-09 15:38:14;trunk:2 fix:2 injected:1 select:1 branch:1 cross:1 fingers:1 commented:1 waiting:1 forever:1 patch:1 note:1 please:1 test:1 version:1 issue:1 one:1 single:1 commit:1 easy:1 revert:1 git:1 id:1 https:1 apache:1 mina:1;PollingIoProcessorTest.java;core/src/test/java/org/apache/mina/transport/socket/nio/PollingIoProcessorTest.java;MODIFY;1;1;21;7;1;136;1;825
DIRMINA;Apache MINA Committee;network-server;DIRMINA-678;fb4273fb71e1e9b230946d2290f15464dfb122d1;0;Emmanuel Lecharny;2009-12-09 15:38:14;Emmanuel Lecharny;2009-12-09 15:38:14;trunk:2 fix:2 injected:1 select:1 branch:1 cross:1 fingers:1 commented:1 waiting:1 forever:1 patch:1 note:1 please:1 test:1 version:1 issue:1 one:1 single:1 commit:1 easy:1 revert:1 git:1 id:1 https:1 apache:1 mina:1;AprIoProcessor.java;transport-apr/src/main/java/org/apache/mina/transport/socket/apr/AprIoProcessor.java;MODIFY;1;0;52;51;0;302;0;2014
DIRMINA;Apache MINA Committee;network-server;DIRMINA-720;d66670e1a5ff0a29c62fe1aa7bf2bc7b4001eab3;0;Julien Vermillard;2010-01-12 17:52:31;Julien Vermillard;2010-01-12 17:52:31;fix:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;SerialSessionImpl.java;transport-serial/src/main/java/org/apache/mina/transport/serial/SerialSessionImpl.java;MODIFY;1;0;7;0;26;244;47;1396
DIRMINA;Apache MINA Committee;network-server;DIRMINA-753;5c8eed2f4bd6df7875e0253c4c0ce1d81df811ba;0;Emmanuel Lecharny;2010-01-13 00:15:53;Emmanuel Lecharny;2010-01-13 00:15:53;fix:2 apply:1 suggested:1 seems:1 harmless:1 delay:1 thanks:1 john:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;AbstractPollingIoProcessor.java;core/src/main/java/org/apache/mina/core/polling/AbstractPollingIoProcessor.java;MODIFY;1;0;1;2;30;634;138;3728
DIRMINA;Apache MINA Committee;network-server;DIRMINA-733;af3a005060dda596a5afc2d4f5457738536c9005;0;Emmanuel Lecharny;2010-01-14 07:00:48;Emmanuel Lecharny;2010-01-14 07:00:48;fixed:1 missing:1 return:1 switch:1 fix:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;ProfilerTimerFilter.java;core/src/main/java/org/apache/mina/filter/statistic/ProfilerTimerFilter.java;MODIFY;1;0;8;0;28;465;130;2059
DIRMINA;Apache MINA Committee;network-server;DIRMINA-746;e33a1e7d5faf0a08b8e7cff6816a0e0a535b7928;0;Emmanuel Lecharny;2010-01-14 07:11:25;Emmanuel Lecharny;2010-01-14 07:11:25;fix:1 potential:1 updating:1 associated:1 yet:1 service:1 git:1 id:1 https:1 apache:1 mina:1 trunk:1;DefaultSocketSessionConfig.java;core/src/main/java/org/apache/mina/transport/socket/DefaultSocketSessionConfig.java;MODIFY;1;0;4;1;26;118;30;533
